Foundation,Communities,FormalName,Location,Region
Felley Priory,Augustinian Canons Regulardependent on Worksop;founded 1152: church and hermitage granted to Worksop by Ralph Britto of Annesley;independent from 1260;dissolved 1536,St Mary,53°03′23″N 1°16′50″W﻿ / ﻿53.0564564°N 1.2804517°W﻿ / 53.0564564; -1.2804517﻿ (Felley Priory),Nottinghamshire
Fiskerton Cell,"Augustinian Canons Regular
possible cell dependent on Thurgarton (more likely a chapel served by Canons from Thurgarton);founded c.1139 by Ralph de Ayncourt;granted to Edward Fynes, Lord Clinton and Thomas Morrison",Fiskarton Cell,53°03′05″N 0°54′45″W﻿ / ﻿53.0512942°N 0.9123963°W﻿ / 53.0512942; -0.9123963﻿ (Fiskerton Cell),Nottinghamshire
Lenton Priory,"Cluniac monksalien house: dependent on Cluny;founded 1102-8 by William Peverell;
became denizen: independent from 1392;dissolved 1538; granted to John Harrington 1562/3","The Priory Church of the Holy Trinity
____________________St Anthony's Hospital",52°56′35″N 1°10′42″W﻿ / ﻿52.943007°N 1.1782891°W﻿ / 52.943007; -1.1782891﻿ (Lenton Priory),Nottinghamshire
Marske Cell (?),"Benedictine monks
cell? dependent on York;existence disputed",Marshe Cell,,Nottinghamshire
Mattersey Priory,"Gilbertine Canonsfounded c.1185 by Roger FitzRalph, son of Ranulf de Mattersey;destroyed by fire 1279;dissolved 3 October 1538; granted to Antony Neville, Esq. 1539/40; (EH)","The Priory Church of Saint Helen, Mattersey",53°23′53″N 0°56′37″W﻿ / ﻿53.398193°N 0.94369°W﻿ / 53.398193; -0.94369﻿ (Mattersey Priory),Nottinghamshire
Newark Greyfriars #,"Observant Franciscan Friarsfounded 1507 (or c.1499 by Henry VII);dissolved 1534;Augustinian Friarsrefounded;dissolved 1539; granted to John Andrews;
house built on site named 'The Friary'",Newark Greyfriars;Newark Austin Friars,53°04′40″N 0°48′15″W﻿ / ﻿53.0776629°N 0.804255°W﻿ / 53.0776629; -0.804255﻿ (Newark Greyfriars),Nottinghamshire
Newstead Priory,"Augustinian Canons Regularfounded c.1163 by Henry II;dissolved 21 July 1539; granted to Sir John Byron 1541/2;
converted into a mansion named 'Newstead Abbey';restored by George Gordon Byron, poet, c.1800;restored by John Shaw for Col. Wildman 1819; further altered c.1862 for William Frederick Webb, African explorer, upon whose death, 1899, estate passed via his surviving children to his grandson Charles Ian Fraser who sold Newstead to philanthropist Sir Julien Cahn, who presented it to Nottingham Corporation 1931;
now in ownership of Nottingham City Council",St Mary,53°04′42″N 1°11′33″W﻿ / ﻿53.0783332°N 1.1925745°W﻿ / 53.0783332; -1.1925745﻿ (Newstead Priory),Nottinghamshire
Nottingham Basford Cell,"Cluniac monks
cell dependent on Lenton?;founded before c.1200;dissolved after 1300",,,Nottinghamshire
Nottingham Friary *,"Franciscan Friars Minor
extant",Friary and Parish of Our Lady and St Edward,52°57′47″N 1°07′41″W﻿ / ﻿52.9631061°N 1.1280245°W﻿ / 52.9631061; -1.1280245﻿ (Nottingham Greyfriars),Nottinghamshire
Nottingham Greyfriars,"Franciscan Friars Minor, Conventual (under the Custody of Oxford)founded before 1230;dissolved 1539",,52°56′59″N 1°09′00″W﻿ / ﻿52.9498419°N 1.1501125°W﻿ / 52.9498419; -1.1501125﻿ (Nottingham Greyfriars),Nottinghamshire
Nottingham — Holy Sepulchre Priory,Augustinian Canons Regular — Holy Sepulchrefounded c.1170;dissolved after 1188,,,Nottinghamshire
Nottingham Roche Cell,"Cluniac monks
cell dependent on Lenton;foundation unknown;dissolved after 1405",,,Nottinghamshire
Nottingham Whitefriars,"Carmelite Friarsfounded before 1271, site granted by Reginald de Grey;dissolved 5 February 1539; granted to Thomas Henneage 1548/9",,52°57′09″N 1°09′07″W﻿ / ﻿52.9526311°N 1.1518398°W﻿ / 52.9526311; -1.1518398﻿ (Nottingham Whitefriars),Nottinghamshire
Ossington Preceptory,"Knights Hospitallerfounded before 1154, granted by William, Archbishop of York;
merged with Newland, Yorkshire 1382;
church of the Holy Rood built 1782, probably stands on or near site",,53°10′41″N 0°51′57″W﻿ / ﻿53.1780964°N 0.8657259°W﻿ / 53.1780964; -0.8657259﻿ (Ossington Preceptory (probable site)) (probable),Nottinghamshire
Rufford Abbey,"Cistercian monksfounded 13 July 1136 by Gilbert de Gant, Earl of Lincoln;dissolved 1536; granted to George, Earl of Shrewsbury;
now in ownership of Nottinghamshire County Council",,53°10′35″N 1°02′08″W﻿ / ﻿53.1763538°N 1.0356385°W﻿ / 53.1763538; -1.0356385﻿ (Rufford Abbey),Nottinghamshire
Shelford Priory,"Augustinian Canons Regularfounded (in the reign of Henry II) by Ralph Hanselyn;dissolved 1536; granted to Michael Stanhope 1539/40;
remains incorporated into house named 'Shelford House' built c.1600, destroyed by fire 1645, rebuilt c.1678",,52°59′02″N 1°00′00″W﻿ / ﻿52.9839162°N 1.0000348°W﻿ / 52.9839162; -1.0000348﻿ (Shelford Priory),Nottinghamshire
Thurgarton Priory +,"Augustinian Canons Regularfounded c.1119-39 by Ralph Deincourt, with the influence of Archbishop Thurstan;dissolved 12 June 1538;
fortified for Charles I 1643;
in use as Bishop's Palace 1884-1904;
part of church now in parochial use","The Priory Church of Saint Peter, Thurgarton",53°02′07″N 0°58′12″W﻿ / ﻿53.0353257°N 0.9699498°W﻿ / 53.0353257; -0.9699498﻿ (Thurgarton Priory),Nottinghamshire
Wallingwells Priory ^,"Benedictine nunsfounded 1130 (probably c.1140-4) by Ralph de Chevrolcourt (Cheurolcourt);
also given as Augustiniandissolved 14 December 1539; granted to Richard Pype and Francis Boyer 1563/4; granted to Richard Whalley 1548/9;
remains possibly partly incorporated into country house named Wallingwells Hall, built 18th/19th century",St Mary de Parco,53°21′03″N 1°08′29″W﻿ / ﻿53.3509676°N 1.1413993°W﻿ / 53.3509676; -1.1413993﻿ (Wallingwells Priory),Nottinghamshire
Welbeck Abbey,"Premonstratensian Canons — from Newsham, Lincolnshirefounded 1153 by Thomas of Cuckney (Thomas Jocei); canons in residence by October 1134;dissolved 20 June 1538;
remains incorporated into private residence, under the ownership of Sir Charles Cavendish before 1607; since altered and remodelled","The Abbey Church of Saint James, Welbeck",53°15′44″N 1°09′22″W﻿ / ﻿53.2621776°N 1.1559892°W﻿ / 53.2621776; -1.1559892﻿ (Welbeck Abbey),Nottinghamshire
Winkburn Preceptory,"Knights Hospitallerfounded 1189-99, church granted by Henry Hosat and vill by Adam Tysun;
serving as a camera of Ossington;dissolved 1382",,,Nottinghamshire
Worksop Priory +,"Augustinian Canons Regular — probably from Huntingdonfounded after 1119 by William de Lovetot;dissolved 15 November 1538; granted to Francis, Earl of Shrewsbury 1541/2
church now in parochial use","The Priory Church of Saint Mary and Saint Cuthbert, Worksop
____________________Wirksop Priory;
formerly known as Radford Priory",53°18′13″N 1°06′55″W﻿ / ﻿53.3036786°N 1.1153269°W﻿ / 53.3036786; -1.1153269﻿ (Worksop Priory),Nottinghamshire
Abingdon Abbey ^,"Saxon (Benedictine?) monks
probably minster and abbey;
(community supposedly founded by Hean, at Bagley Wood, near Sunningwell 675);transferred here 695;destroyed c.872 in raids by the Danes;Benedictine monksfounded c.954 (950);dissolved 9 February 1538;
remains incorporated into town buildings;
in local authority and trust ownership with public access to church","The Abbey Church of the Blessed Virgin Mary, Abingdon",51°40′14″N 1°16′31″W﻿ / ﻿51.670556°N 1.275278°W﻿ / 51.670556; -1.275278﻿ (Abingdon Abbey),Oxfordshire
Barton Cell,"Augustinian Canons Regular
?cell dependent on Oseney; possibly an estate without resident canons",,,Oxfordshire
Bicester Priory,"Augustinian Canons Regularfounded 1182-5, endowed by Gilbert Basset, Baron of Hedington;dissolved 1536; granted to Charles, Duke of Suffolk 1538/9","St Edburga
____________________Burchester Priory",51°53′42″N 1°09′09″W﻿ / ﻿51.8950198°N 1.1525667°W﻿ / 51.8950198; -1.1525667﻿ (Bicester Priory),Oxfordshire
Bruern Abbey #,"Cistercian monks — from Waverley, Surrey;founded 1147;dissolved 1536; granted to Sir Antony Coke 1610/1;
site now occupied by 18th century private house named 'Bruern Abbey'","The Abbey Church of Saint Mary of the Heath of Tretone, Bruern
____________________Brueria Abbey;Bruerne Abbey",51°51′27″N 1°38′46″W﻿ / ﻿51.857424°N 1.646104°W﻿ / 51.857424; -1.646104﻿ (Bruern Abbey),Oxfordshire
Burford Priory ^,"Hospital of St John the Evangelist founded 13th centurydissolved 1538;restored 1637;Anglican Benedictinefounded 1901; sold off 2008; now in use as a country house, incorporating remains of the medieval hospital","Priory of Our Lady, Burford
____________________The Priory",51°48′33″N 1°38′20″W﻿ / ﻿51.809303°N 1.6388029°W﻿ / 51.809303; -1.6388029﻿ (Burford Priory),Oxfordshire
Caversham Cell,"Augustinian Canons Regularstatus unknown, dependent on Notley, Buckinghamshire;founded 1162;dissolved c.1538",,,Oxfordshire
Charlton on Otmoor Priory,Benedictine monksalien house: grange dependent on St Evroul;founded 1086 (1081) by Hugh Grentemoisnil;dissolved 1414; granted to Sir Thomas White and others,Charleton Priory,,Oxfordshire
Charney Manor ~,"Benedictine Monks
residential manor, chapel and farm; granted to Abingdon before 1066;
range c.1280; leased as a manor house from 1494; remodelled/rebuilt 16th, 17th and 19th century;
converted and in use as a hotel 20th century",,51°38′52″N 1°27′01″W﻿ / ﻿51.6479054°N 1.4503348°W﻿ / 51.6479054; -1.4503348﻿ (Charney Manor),Oxfordshire
Cholsey Abbey,"Benedictine monksfounded 986 by King Ethelred II
probably destroyed in raids by the Danes 1006;dissolved; granted to Sir Francis Englefield;
probable slight remains incorporated into medieval parish church",Cholsey Grange,51°34′44″N 1°09′32″W﻿ / ﻿51.5788°N 1.159°W﻿ / 51.5788; -1.159﻿ (Cholsey Abbey),Oxfordshire
Clanfield Preceptory,"Knights Hospitallerfounded before 1279;
united to Quenington before 1433",,51°42′58″N 1°35′46″W﻿ / ﻿51.7160019°N 1.596086°W﻿ / 51.7160019; -1.596086﻿ (Clanfield Preceptory),Oxfordshire
Clanfield Cell,"Sisters of the Order of St John of Jerusalem
cellfoundation unknowndissolved c.1180: transferred to Buckland, Somerset",,,Oxfordshire
Clattercote Priory,"Gilbertine canons
hospital founded 1148-66, possibly by Robert de Chesney;
hospital ceased before 1262;
priory, refounded 1251-62;dissolved 1538(?); granted to Thomas Lee c.1559;
site now occupied by a private house",St Leonard,52°08′21″N 1°19′56″W﻿ / ﻿52.1392303°N 1.3321674°W﻿ / 52.1392303; -1.3321674﻿ (Clattercote Priory),Oxfordshire
Cogges Priory,Benedictine monksalien house: dependent on Fécamp;founded 1103 by Manasses Arsic;dissolved 1414; granted to Eton College,St Mary,51°47′04″N 1°28′40″W﻿ / ﻿51.784356°N 1.4777523°W﻿ / 51.784356; -1.4777523﻿ (Cogges Priory),Oxfordshire
Cold Norton Priory,"Augustinian Canons Regular
hospital of St George and church of St John the Evangelistfounded 1148-58 by Avelina de Norton;dissolved 1507: no canons remaining;granted to St Stephen's, Westminster","The Priory Church of Saint John the Evangelist, Cold Norton",51°57′01″N 1°30′45″W﻿ / ﻿51.9503837°N 1.5125111°W﻿ / 51.9503837; -1.5125111﻿ (Cold Norton Priory),Oxfordshire
Coxwell Grange #,"Cistercian Monks
probably grange with chapel;founded 1205 (1204);dependent on Beaulieu, Hampshire;
Court House Farm built on site 16th century; (NT)",,51°38′38″N 1°36′45″W﻿ / ﻿51.6440191°N 1.6125548°W﻿ / 51.6440191; -1.6125548﻿ (Coxwell Grange),Oxfordshire
Dorchester Abbey +,"secular cathedralfounded 634, new see of the West Saxons created;
see transferred to Winchester 663
see of Mercia 670s;
see restored after 869 (875);
see transferred to Lincoln 1072;secular canons collegiatefounded 1072: built on site of episcopal diocesan cathedral;dissolved c.1140 by Alexander, Bishop of Lincoln;Augustinian Canons Regular — Arroasian (?)founded c.1140 by Alexander, Bishop of Lincoln;dissolved 1536; granted to Edmond Ashfield 1544/5;restored by James Cranston c.1845,William Butterfield 1846-53,
and George Gilbert Scott 1859-74;
church continues in parochial use as the Parish Church of SS Peter and Paul","The Abbey Church of Saint Peter, Saint Paul and Saint Birinus",51°40′13″N 1°16′50″W﻿ / ﻿51.670222°N 1.28061°W﻿ / 51.670222; -1.28061﻿ (Dorchester Abbey),Oxfordshire
East Hendred Cell,"Carthusian monks
grange: manor and chapel dependent on Sheen, Surrey, (Greater London), but apparently grange status, possibly without resident monks",,51°35′20″N 1°20′15″W﻿ / ﻿51.5890029°N 1.3373923°W﻿ / 51.5890029; -1.3373923﻿ (East Hendred Grange),Oxfordshire
Eynsham Abbey,"Benedictine monksfounded 1005 by Æthelmar (Ailmer), Earl of Cornwall, on the site of 9th century church;destroyed and monks dispersed at the Norman Conquest, after 1066;restored before 1086 by Remigius, Bishop of Lincolntransferred to Stow, Lincolnshire 1091;
returned c.1094-5;dissolved December 1539; granted to Sir Edward North and William Darcey 1543/4","St Mary
(also St Andrew and St Eadburgh given)
____________________Egnesham Abbey",51°46′41″N 1°22′31″W﻿ / ﻿51.7779972°N 1.3752544°W﻿ / 51.7779972; -1.3752544﻿ (Eynsham Abbey),Oxfordshire
Faringdon Abbey,"Cistercian monks — from Cîteauxfounded before 2 November 1203: manor granted to Citeaux by King John;transferred to Beaulieu, Hampshire 1204;
monastic cell or grange early 13th century;
probably merged with Coxford Grange;
privately leased 1351; granted to Sir Francis Englefield",Saint MaryFarendon Priory;Faringdon Minster,51°39′34″N 1°35′02″W﻿ / ﻿51.6595789°N 1.5839946°W﻿ / 51.6595789; -1.5839946﻿ (Faringdon Priory),Oxfordshire
Godstow Abbey,"Benedictine nuns with small community of Benedictine monks under a master attached to the nunneryfounded by Easter 1133 by Ediva (Editha), widow of Sir William Launcelene, assisted by Henry I, built on land granted by John de St John;dissolved 17 November 1539; granted by Henry VIII to his physician, Dr George Owen before 1547","St Mary and St John the Baptist
____________________Godeston Abbey",51°46′42″N 1°17′59″W﻿ / ﻿51.7783939°N 1.2996778°W﻿ / 51.7783939; -1.2996778﻿ (Godstow Abbey),Oxfordshire
Goring Priory,"Augustinian Canonessesfounded 12th century (during the reign of Henry I) by Thomas de Druval who granted a church and land;dissolved 1539(?); granted to Charles, Duke of Suffolk c.1531;
later granted to Sir Thomas Pope;
part of conventual church in parochial use","The Priory Church of the Blessed Virgin Mary, Goring",51°31′20″N 1°08′24″W﻿ / ﻿51.5221557°N 1.1401105°W﻿ / 51.5221557; -1.1401105﻿ (Goring Priory),Oxfordshire
Gosford Preceptory,"Knights Hospitallerfoundation unknown, land granted by Robert d'Oilly;dissolved c.1180(?);
hospitallers' oratory/chapel built c.1234;
united to Quenington before 1433;granted to Antony Stringer and John Williams 1542/3",,,Oxfordshire
Gosford Cell,"Sisters of the Order of St John of Jerusalem
cell;foundation unknowndissolved c.1180: transferred to Buckland",,,Oxfordshire
"Helenstowe Nunnery,Abingdon","nunsfounded c.675;
site now occupied by St Helen's Church","The Church of the Holy Cross and Saint Helen, Helenstowe",,Oxfordshire
Littlemore Priory,"Benedictine nunsfounded before 1154 by Robert de Sandford;dissolved 1525, suppressed for Wolsey's college; granted to William Owen and John Bridges c.1539","St Mary, St Nicholas and St Edmund",51°42′59″N 1°12′42″W﻿ / ﻿51.7162611°N 1.211755°W﻿ / 51.7162611; -1.211755﻿ (Littlemore Priory),Oxfordshire
Merton Preceptory,"Knights Templarfounded c.1156, granted by Simon, Earl of Northampton;dissolved c.1240(?), became a limb of Sandford",,,Oxfordshire
Milton Cell,"Benedictine monks
purported cell dependent on Abingdon — evidence lacking",,,Oxfordshire
Minchery Priory,"Benedictine nuns
site now occupied by Minchery Farm, also called 'The Priory and...?....'",,,Oxfordshire
Minster Lovell Priory,"Saxon minsterBenedictine monksalien house: cell dependent on Ivry;founded c.1200-6, St Kenelm's Church granted to Ivry 1200;dissolved 1414 (1415);granted to Eton College 1441",,51°47′48″N 1°32′14″W﻿ / ﻿51.7967259°N 1.5373564°W﻿ / 51.7967259; -1.5373564﻿ (Minster Lovell Priory),Oxfordshire
Oddington Grange,"Cistercian monksdependent on Thame;founded c.1141;
possibly on the site of Otley Abbey",,,Oxfordshire
Oseney Abbey,"Augustinian Canons Regular
prioryfounded 1129 by Robert d'Oilly (son of the Lord of Oxford) and his wife Edith;
raised to abbey status c.1154;
mitred abbey 1481;dissolved 17 November 1539;
episcopal diocesan cathedralfounded 1542: new see created;
see transferred to Christ Church, Oxford 1546;
fell into decay and demolished","St Mary
____________________Oseney Priory;Aseney Priory;Osney Abbey",51°44′58″N 1°16′17″W﻿ / ﻿51.7493616°N 1.2713201°W﻿ / 51.7493616; -1.2713201﻿ (Osney Abbey),Oxfordshire
Otley Abbey,"Cistercian monksdependent on Waverley, Surrey;founded 22 July 1137: land granted by Robert Gait;abandoned, transferred to Thame c.1141;
Oddington Grange probably established on site (though possibly deserted village rather than monastic)",Ottley Abbey;Ottelei Abbey;Oddington Grange?,51°50′43″N 1°12′47″W﻿ / ﻿51.8453827°N 1.2131658°W﻿ / 51.8453827; -1.2131658﻿ (Otley Abbey (poss site)) (possible),Oxfordshire
Oxford Austin Friars #,"Austin Friars (under the Limit of Oxford)founded 1266-7; Henry III regarded as founder 1268;
impoverished and ruinous at dissolved July 1538;
Oxford Wadham College founded 1612 by Nicholas Wadham",,51°45′21″N 1°15′16″W﻿ / ﻿51.7558141°N 1.254319°W﻿ / 51.7558141; -1.254319﻿ (Oxford Austin Friars (site)),Oxfordshire
Oxford Blackfriars — St Aldate's,Dominican Friars (under the Visitation of Oxford)founded 1221;transferred to new site (see immediately below) 1245,oratory: St Mary,,Oxfordshire
Oxford Blackfriars — St Ebbe's,"Dominican Friars (under the Visitation of Oxford)
(community founded at St Aldates (see immediately above) 1221);transferred here 1245;dissolved 1538",,,Oxfordshire
Oxford Cathedral Priory +,"Augustinian Canonessesfounded c.727 by Didanus, petty king;destroyed in raids by the Danes c.874?;destroyed in raids by the Danes 1002; rebuilt;secular canonsfounded 1004;Augustinian Canons Regular — from Holy Trinity, Aldgate, Middlesex (Greater London)refounded 1122;dissolved April 1524, suppressed for Cardinal Wolsey's college;
episcopal diocesan cathedral and college chapelfounded 1546: see transferred from Oxney; extant","The Priory Church of St Frideswide, Oxford",51°45′00″N 1°15′17″W﻿ / ﻿51.7501221°N 1.2546301°W﻿ / 51.7501221; -1.2546301﻿ (Oxford Cathedral Priory),Oxfordshire
Oxford — Canterbury College,"Benedictine monksdependent on Canterbury;founded 1331 (1349) by Simon de Islip, Archbishop of Canterbury; lapsed;refounded 1363-70 by Archbishop Islip;
secular 1365;
constituted as a monastic college c.1368-70;dissolved c.1539;
made part of Christ Church, Oxford 1546/7;rebuilt 1773",,51°45′04″N 1°15′16″W﻿ / ﻿51.7509856°N 1.2544906°W﻿ / 51.7509856; -1.2544906﻿ (Oxford — Canterbury College),Oxfordshire
Oxford Crutched Friars,"Crutched Friarsfounded 1342: licence granted to Crutched Friars of London 29 July 1342 to acquire land in Oxford;
dwelling-place apparently moved a number of times;
Bishop forbade completion of church began 1349;dissolved before 1362;
property disposed of 1362",,51°45′01″N 1°15′46″W﻿ / ﻿51.7503878°N 1.2626445°W﻿ / 51.7503878; -1.2626445﻿ (Oxford Crutched Friars),Oxfordshire
Oxford — Durham College,"Benedictine monks
priory cell dependent on Durham, County Durham;founded 1286-91, land purchased by Durham 1286, completed 1291;dissolved 1540;Trinity College founded on site 1554-5 by Sir Thomas Pope and his wife Elizabeth",,51°45′19″N 1°15′26″W﻿ / ﻿51.7553791°N 1.2572855°W﻿ / 51.7553791; -1.2572855﻿ (Oxford — Durham College),Oxfordshire
Oxford Friars of the Sack,"Friars of the Sackfounded 1261-2;
ruinous parish church of St Budoc acquired by the friars, becoming the conventual church;dissolved, granted to Franciscan Friars c.1309",,51°45′04″N 1°15′41″W﻿ / ﻿51.7510255°N 1.2613034°W﻿ / 51.7510255; -1.2613034﻿ (Oxford Friars of the Sack),Oxfordshire
Oxford — Gloucester College,"Benedictine monks
priory cell dependent on Gloucester, Gloucestershire;founded 1283, house granted by John Giffard;
college founded 1291;dissolved 1538;
Worcester College founded 1714 under the will of Sir Thomas Cookes",Glocester College;Glocester Hall,51°45′18″N 1°15′50″W﻿ / ﻿51.7549408°N 1.2638381°W﻿ / 51.7549408; -1.2638381﻿ (Oxford — Gloucester College),Oxfordshire
"Oxford Greyfriars, earlier site","Franciscan Friars Minor, Conventual (under the Custody of Oxford)
friars from Canterbury moved to Oxford via London, residing with the Dominicans for eight days in autumn 1224, then hired a house at St Ebbe's before transferred to new site (see immediately below) 1244-5",,,Oxfordshire
Oxford Greyfriars,"Franciscan Friars Minor, Conventual (under the Custody of Oxford)
(community founded at St Ebbe's 1224)transferred here from earlier site (see immediately above) 1244-5: house and land granted to the townsmen for the friars' use by Richard the Miller;dissolved1538",,51°45′02″N 1°15′45″W﻿ / ﻿51.7505738°N 1.2624514°W﻿ / 51.7505738; -1.2624514﻿ (Oxford Greyfriars),Oxfordshire
Oxford — London College,purportedly Benedictine monks and secular college (in fact secular only)founded after 1421,,,Oxfordshire
Oxford — St Albans Hall,"Benedictine monksfounded c.1140;
part of Oxford — Gloucester College;
now part of Merton College",,51°45′04″N 1°15′08″W﻿ / ﻿51.751062°N 1.252109°W﻿ / 51.751062; -1.252109﻿ (Oxford — Merton College — site of St Albans Hall),Oxfordshire
"Oxford, St Bernard's College","Cistercian monks
abbey, founded 1437 (1436) by Henry Chichele, Archbishop of Canterbury, who granted land;dissolved c.1542;refounded as St John's College during the reign of Mary",St Mary and St Bernard,,Oxfordshire
"Oxford, St Mary's College","Augustinian Canons Regular
priory, founded 1435 by Thomas Holden and his wife Elizabeth;dissolved 1540",,,Oxfordshire
"Oxford Trinitarian Priory, earlier site","Trinitariansfounded before 1286:granted by Edmund, Earl of Cornwall 1293;transferred to new site (see immediately below) c.1313",The Holy Trinity,"51°45′07″N 1°14′52″W﻿ / ﻿51.7519088°N 1.2478495°W﻿ / 51.7519088; -1.2478495﻿ (Oxford Trinitarian Priory, earlier site)",Oxfordshire
Oxford Trinitarian Priory,"Trinitarians
(community founded at earlier site (see immediately above) before 1286;transferred here c.1313 (site acquired before 1307);
known as 'Trinity Hall' from late-15th century, apparently dependent on Moatenden;dissolved 1538",The Holy Trinity,51°45′09″N 1°14′57″W﻿ / ﻿51.7525498°N 1.249271°W﻿ / 51.7525498; -1.249271﻿ (Oxford Trinitarian Priory),Oxfordshire
"Oxford Whitefriars, earlier site","Camelite Friarsfounded 1256: site granted by Nicholas de Meules (de Molis);transferred to new site (see immediately below) 1317-18; incorporated into the Benedictines' college, Oxford — Gloucester College, until the Dissolution 1538",,"51°45′16″N 1°15′50″W﻿ / ﻿51.7544426°N 1.2640017°W﻿ / 51.7544426; -1.2640017﻿ (Oxford Whitefriars, earlier site)",Oxfordshire
Oxford Whitefriars,"Camelite Friars
(community founded at earier site (see immediately above) 1256);transferred here 1317-18 by Edward II to his manor, 'the Palace of Beaumont', together with the friars at Sheen, Surrey (Greater London);dissolved 1538; demolished 16th century",The King's Hall;the Palace of Beaumont,51°45′18″N 1°15′44″W﻿ / ﻿51.7550603°N 1.2620974°W﻿ / 51.7550603; -1.2620974﻿ (Oxford Whitefriars),Oxfordshire
Pheleley Priory,"Benedictine monksfounded after 1100 (during the reign of Henry I);
apparently connected with Tewkesbury, but assigned by Tewkesbury as a cell to Eynsham;
annexed to /transferred to Eynsham after c.1145",Phelely Priory,51°52′41″N 1°25′55″W﻿ / ﻿51.8781336°N 1.4319563°W﻿ / 51.8781336; -1.4319563﻿ (Pheleley Priory (poss. site)) (possible),Oxfordshire
Rewley Abbey,"intended as a secular establishment by King RichardCistercian monksdependent on Thame;founded 11 December 1143 by Edmund, Earl of Cornwall;dissolved c.1536; granted to the Dean and Chapter of Christ Church, Oxford 1546/7",,51°45′16″N 1°16′05″W﻿ / ﻿51.7543746°N 1.2680545°W﻿ / 51.7543746; -1.2680545﻿ (Rewley Abbey),Oxfordshire
Sandford Preceptory,"Knights Templarfounded c.1240: lands granted to Temple Cowley by Thomas the younger, of Sandford;transferred from Temple Cowley;dissolved 1308-12;Knights Hospitallertransferred after 1312;dissolved 1371: incorporated into the camerae of the prior of England;
becoming a farmhouse;granted to Edward Powell 1541/2
remnants now in use as part of a Four Pillars Hotel",Sandford-on-Thames Preceptory;Saunford Hospital,51°42′46″N 1°13′53″W﻿ / ﻿51.7128577°N 1.23137°W﻿ / 51.7128577; -1.23137﻿ (Sandford Preceptory),Oxfordshire
Sibford Camera,Knights Templarfounded before(?)1185;dissolved 1312,,52°01′49″N 1°29′29″W﻿ / ﻿52.0303105°N 1.4912868°W﻿ / 52.0303105; -1.4912868﻿ (Sibford Camera),Oxfordshire
Steventon Priory,"Benedictine monksalien house: dependent on of St-Mary-du-Pré, Rouen and Bec-Hellouin, Normandyfounded 12th century (during the reign of Henry I) manor granted to St Mary de Pre (St Mary de Prato, called Bonne-Nouvelle), Rouen, a dependent on of Bec-Hellouin;
farmed out 1378;dissolved 1389; granted to Westminster Abbey by Richard II;
officially a priory but actually a grange
no monastic church
prior's house now in private ownership with public access by appointment (NT)",Stenington Priory,51°37′08″N 1°19′42″W﻿ / ﻿51.6188959°N 1.3282299°W﻿ / 51.6188959; -1.3282299﻿ (Steventon Priory),Oxfordshire
Studley Priory,"Benedictine nunsfounded 12th century by Bernard of Walery (de St Walerico);dissolved 1536 (apparently suppressed), 19 November 1539 (surrendered); granted to John Croke 1539/40;
converted into an Elizabethan manor house;
now in use as the Studley Priory Hotel","St Mary
____________________Stodeley Priory",,Oxfordshire
Temple Cowley Preceptory,Knights Templarfounded 1136 by Queen Matilda;transferred to Temple Cowley c.1240 and thereafter reduced to status of camera,,51°43′55″N 1°12′17″W﻿ / ﻿51.7320718°N 1.2048429°W﻿ / 51.7320718; -1.2048429﻿ (Temple Cowley Preceptory),Oxfordshire
Thame Abbey,"Cistercian monkstransferred from Otley;dependent on Waverley, Surrey;
(founded at Otley 22 July 1137);transferred here c.1140: site granted by Alexander, Bishop of Lincoln;dissolved 1539; granted to Edward, Duke of Somerset c.1547;
remains incorporated into 18th century country house",Tame Abbey,51°43′39″N 0°57′49″W﻿ / ﻿51.7275°N 0.9635246°W﻿ / 51.7275; -0.9635246﻿ (Thame Abbey),Oxfordshire
Wallingford Priory #,"Benedictine monks
cell of St Albans, Hertfordshirefounded 1097 or 1088 (1077-93, 1087-9) by Robert D'Oyley or Gilfrid, Abbot of St Alban;dissolved 1525(-8) by Cardinal Wolsey to fund Ipswich College;granted to John Norres c.1546;","The Priory Church of the Holy Trinity, Wallingford
____________________Wallingford Cell;Waring Cell",51°36′05″N 1°07′35″W﻿ / ﻿51.6013696°N 1.1264151°W﻿ / 51.6013696; -1.1264151﻿ (Wallingford Priory),Oxfordshire
Wroxton Abbey,"Augustinian Canons Regularfounded c.1217 by Magister Michael Beletdissolved c.1537 (1536); granted to Sir Thomas Pope who gave part to Trinity College, Oxford;
scant remains incorporated into mansion called 'Wroxton Abbey' built on site 1618","The Priory Church of St Mary, Wroxton
____________________Wroxton Priory",52°04′17″N 1°23′37″W﻿ / ﻿52.0713589°N 1.3936463°W﻿ / 52.0713589; -1.3936463﻿ (Wroxton Abbey),Oxfordshire
Westcot Camera,Knights Templarfounded 13th century (during the reign of Henry III): holdings granted by Robert Achard;dissolved 1308-12;Knights Hospitallertransferred 1308-12,Westcott Camera,51°34′52″N 1°30′38″W﻿ / ﻿51.5811232°N 1.5106201°W﻿ / 51.5811232; -1.5106201﻿ (Westcot Camera),Oxfordshire
Wytham Abbey #,"nuns — from Helenstow;
purportedly transferred here after 700;
dispersed to other houses during hostilities c.780;",,51°46′08″N 1°20′05″W﻿ / ﻿51.7688026°N 1.3347879°W﻿ / 51.7688026; -1.3347879﻿ (Wytham Abbey),Oxfordshire
